time,gFx,gFy,gFz,TgF
310.338854778,-0.0592,0.2626,0.7595,0.802
311.3408491,0.0581,0.1804,0.6939,0.713
312.339804204,0.1154,0.2171,1.3080,1.324
313.341583526,0.0166,0.2083,0.9076,0.926
314.341918734,-0.0621,0.2161,1.1276,1.146
315.341490557,-0.0543,0.1203,1.0010,1.006
316.341519932,0.0572,0.0753,0.9717,0.971
317.342899358,-0.0489,0.2127,1.0572,1.075
318.342082952,-0.0655,0.1423,1.0410,1.049
319.342596597,-0.0362,0.0475,1.0210,1.019
320.343026493,-0.0362,0.1619,1.0944,1.103
321.343923107,-0.0298,0.1780,1.0782,1.089
322.344338731,-0.0098,0.1868,1.2723,1.281
323.343256283,-0.0366,0.0919,1.0005,1.002
324.343504251,-0.1036,0.0856,1.1261,1.132
325.346040605,-0.1032,0.1570,1.1466,1.159
326.345601594,-0.0699,0.1545,1.0440,1.054
327.346196646,0.0254,0.0328,0.9467,0.943
328.346820864,0.0230,0.1139,0.9790,0.981
329.347123052,0.0767,-0.0679,0.9790,0.980
330.347469666,0.0792,-0.0103,1.0239,1.022
331.356717895,0.0992,-0.0972,0.8015,0.808
332.356751853,0.0386,-0.0225,0.9638,0.961
333.356131904,0.1681,0.1487,1.3578,1.369
334.35629055,0.1491,0.0704,1.0005,1.007
335.364175966,0.0992,0.1790,0.9707,0.985
336.364354507,0.1447,0.0856,0.9266,0.935
337.359385913,0.2439,0.1311,0.9951,1.024
338.350678725,0.1721,0.1335,0.9893,1.005
339.350769089,0.0596,0.1482,1.0690,1.075
340.352344402,0.0415,0.1203,0.9570,0.960
341.352267735,-0.0646,0.2254,1.2351,1.253
342.351882265,0.1129,0.1970,0.9756,0.995
343.352911796,-0.0856,0.2327,0.9619,0.990
344.353250442,0.0445,0.2044,0.9213,0.939
345.353156171,0.0611,0.2254,0.9477,0.970
346.354316535,0.0024,0.2200,0.9594,0.979
347.354789607,-0.0322,0.2127,1.0616,1.079
348.353929555,-0.0489,0.1609,1.0127,1.023
349.355439919,-0.0387,0.1731,0.9638,0.976
350.354459033,-0.0332,0.1746,1.0093,1.021
351.355048616,0.0064,0.1653,0.9844,0.993
352.35501721,0.0088,0.1702,1.0024,1.012
353.356155282,-0.0210,0.1575,0.9721,0.981
354.356758042,0.0044,0.1951,0.9638,0.978
355.358104865,0.0068,0.1985,0.9037,0.920
356.360086739,-0.0220,0.1736,0.9912,1.002
357.360997572,-0.0044,0.1614,0.9863,0.995
358.361146843,-0.0151,0.1682,1.0371,1.046
359.363837571,-0.0029,0.1423,0.9751,0.981
360.361891998,-0.0044,0.1345,1.0088,1.013
361.362585696,0.0098,0.1340,0.9379,0.943
362.366816893,0.0484,0.1961,0.9012,0.918
363.364614341,0.0088,0.1404,1.0093,1.014
364.362988247,-0.0020,0.1819,0.9736,0.986
365.381116163,0.0239,0.1809,0.9746,0.986
366.374948871,0.0410,0.1604,1.0308,1.039
367.374982256,0.0249,0.1702,1.0337,1.043
368.364919443,0.0264,0.1711,0.9858,0.996
369.364715588,-0.0049,0.1785,0.9364,0.949
370.364962671,-0.0161,0.1404,0.9946,1.000
371.366364963,0.0098,0.1501,0.9384,0.946
372.366461941,0.0171,0.1242,0.9541,0.957
